Afrikaans,Category,English_Definition,English_Term,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Siswati,Tshivenda,Xitsonga
Uitbetaalde maatskaplike bydraes,                             Labour                                     ,"Actual or imputed payment made by general government units to social insurance scheme to obtain entitlement to social benefits to their employees, including pensions and other retirement benefits.",Social contributions paid,Iimbonelelo zombuso eensebenzini,"inkxaso-mali yabasebenzi ehlawulweyo umrhumo womqeshi kwiimfanelo zabasebenzi
",Imali yezinsizakalo ekhokhiwe,Diputseletšo tša leago tše di lefetšwego,Kabelo tse lefilweng tsa setjhaba,Dikabeloloagotuelwa,Tibonelelo tetenhlalo kubasebenti,Magavhelo a matshilisano o badelwaho,Mali ya mpfuneto leyi hakeriweke
Maatskaplike bydraes ontvang,                             Labour                                       ,"Actual or imputed receipts from either employers on behalf of their employees or from employees, self-employed, or non-employed persons on their own behalf that secure entitlement to social benefits for the contributors, their dependants or their survivors. The contributions may be compulsory or voluntary.",Social contributions received,Iimbonelelo zomhlalaphasi,"inkxaso-mali yabasebenzi efunyenweyo imirhumo efunyenwe kwabazilungiselela ikamva
",Imali yezinsizakalo etholakele,Diputseletšo tša leago tše di amogetšwego,Kabelo tse amohetsweng tsa setjhaba,Dikabeloloagokamogelwa,Tibonelelo tetenhlalo letitfolakele,Magavhelo a matshilisano o ṱanganedzwaho,Mali ya mpfuneto leyi amukeriweke
Tydelike afwesigheid (van werk),                             Labour                                       ,"Absence from work (e.g. on annual or sick leave), when there is the intention to return to work and the person has work to return to.",Temporary absence (from work),Ukutshwila; ukungabikho kwesikhatjhana (emsebenzini),Ukungabikho okwethutyana (emsebenzini),Ukungabibikho emsebenzini okwesikhashana,Go se be mošomong lebakanyana,Ho ba siyo nakwana (mosebetsing),Go sa nneng teng nakwana (tirong),Kuba selivini,Khundelwa tshifhinganyana(mushumoni),Ku nga vi kona xinkarhana (entirhweni)
Tydelike werknemer,                             Labour                                       ,"An employee appointed on a short-term contract basis for periods normally not exceeding one year. Such contract would typically stipulate a termination date, but could be renewed by mutual agreement between the employer and the employee. This excludes the self-employed person with an enterprise but temporarily not at work.",Temporary employee,Umtorhi,Umgxungxi,Owetoho/ oqashwe okwesikhashana,Mošomi wa lebakanyana,Mohiruwa wa nakwana,Mothapiwanakwana,Umcashwa wesikhashana,Mushumi- / mutholwa- / muhirwa-/ tetshelwatshifhinga,Mutirhi wa xinkarhana
Tydelike ontslag,                             Labour                                      ,Employees being laid off work for at least one complete working day because there is not enough work for them to do.,Temporary layoff,Ukujanyiswa kwesikhatjhana,ukulaliswa emsebenzini okwethutyana,Ukumiswa okwesikhashana,Go emišwa mošomong ga nakwana,Ho ntshwa mosebetsing nakwana,Tshekegonakwana / Peelothokonakwana,Kumiswa kwesikhashana nakungenamsebenti,U awedzwa lwa tshifhinganyana / U litshiswa mushumo lwa tshifhinganyana,Ku yimisiwanyana entirhweni
Werklose (uitgebreide definisie),                             Labour                                      ,"A person who (a) did not work in the seven days prior to the reference point, and (b) wants to work and is available to start work within two weeks* of the reference point. There are no work-seeking criteria. This category comprises the unemployed according to the strict definition plus discouraged work-seekers. (*The availability period changed from one week to two weeks in July 2004.)",Unemployed (expanded definition),Abangasebenziko; -ngasebenziko,Ongaqeshwanga ( inkcazelo ezeleyo),-ngaqashiwe;-ngasebenzi,Mosešome,Ba sa sebetseng (tlhaloso e atolositsweng),Motlhokatiro (thanolo e e atolositsweng),Longasebenti (ngenchazelo leluliwe),Musatholwa / musahirwa (ningoṱhandavhudzwa),Ku nga tirhi (nhlamuselo yo ndlandlamuxiwa)
Werklose persoon (amptelike of streng definisie),                             Labour                                      ,"Person within the economically active population who (a) did not work in the seven days prior to the reference point, (b) wants to work and is available to start work within two weeks* of the reference point, and (c) has taken active steps to look for work or start some form of self-employment in the four days prior to the reference point. (*The availability period changed from one week to two weeks in July 2004.)",Unemployed person (official or strict definition),Umuntu ongasebenziko,Umntu ongaqeshwanga (inkcazelo ngokwasemagunyeni okanye engqongqo),Umahlalela/ ongaqashiwe/ongasebenzi,Mohlokamošomo,Motho ya sa hiruwang (tlhaloso ya semmuso),Motlhokatiro (yo o batlang tiro),"Umuntfu longasebenti, mahlalela (ngenchazelo lesemtsetfweni)",Musatholwa / musahirwa (ningokhombetshedzi kana dza tshiofisi),Munhu loyi a nga tirhiki (ximfumo kumbe nhlamuselo yo boha)
Werkloosheid,                             Labour                                       ,"People within the economically active population, who: (a) Did not work during the seven days prior to the interview (b) Want to work and are available to start work within two weeks of the interview (c) Have taken active steps to look for work or to start some form of self-employment in the four weeks prior to the interview (ILO and Stats SA).",Unemployment,Ukudingeka/Ukutlhogeka/Ukungabikho komsebenzi,Intswela-ngqesho,Ukungasebenzi kwabantu ababambe iqhaza kwezomnotho,Go se šome,Ho se sebetse,Botlhokatiro,Kwesweleka kwemsebenti,Vhusatholwa / vhusahirwa / vhushayamushumo,Vupfumalantirho
Werkloosheidversekeringfonds (WVF),                             Labour                                       ,A fund to which employers and employees contribute and from which employees who become unemployed (or their beneficiaries) are entitled to benefits. Note: The intention of the fund is to alleviate the harmful economic and social effects of unemployment.,Unemployment Insurance Fund (UIF),ITjhorensi yabaTlhoge / yabaDinge umSebenzi,ingxowa-mali ye-inshorensi yaxa uphelelwe ngumsebenzi,Isikhwama somshuwalensi wabaphelelwe umsebenzi,SekhŠwama sa inšorentshe ya ge o feletšwe ke mošomo,"Letlole la inshorense ya ho se sebetse / Letlole la inshorense bakeng la ba sa tswa fellwa ke mosebetsi
",Letlole la Inšorense ya Botlhokatiro (LIB),Umshwalense walabaphelelwe ngumsebenti,"Tshikwama tsha Ndiliso tsha Vhashumi / Tshikwama tsha Ndindakhombo tsha Vhashumi
",Nkwama wo Pfuna Vamahlalele
Werkloosheidskoers,                             Labour                                       ,The percentage of the economically active population that is unemployed.,Unemployment rate,Isilinganiso sokudingeka/sokutlhogeka/sokungabikho komsebenzi,Umlinganiselo wentswelo-ngqesho,Izinga lokungasebenzi kwabantu,Kelo ya go hloka mošomo,Sekgahla sa ho se sebetse,Kelo ya botlhokatiro,Lizinga lekwesweleka kwemsebenti,Tshikala-/vhusatholwa / vhusahirwa / vhushayamushumo,Mpimo wa vupfumalantirho
Ongeskoolde werknemers,                             Labour                                      ,Persons who have not undergone any formal training or of whom no minimum level of education is required.,Unskilled employees,Iinsebenzi ezinganamakghonofundwa,Abaqeshwa abangenazakhono,Abangaqeqeshiwe,Bašomi ba go hloka bokgoni/ ba go se hlahliwe,Bahiruwa ba sa kwetliswang,Bathapiwa ba ba se nang bokgoni; bathapiwa ba ba sa nonofang,Bacashwa labangenamakhono,Vhashumi/vhatholwa/vhahirwa tshayavhugudiswa,Vatirhi vo pfumala swikili
Vakatures,                             Labour                                      ,Available funded positions/posts for immediate filling on the survey reference date and for which recruitment action had been taken (ILO).,Vacancies,Iinkhala zeenkhundla,Izithuba zomsebenzi,Izikhala zemisebenzi,Dikgoba tša mošomo,Dikgeo,Diphatlhatiro,Tikhala temsebenti,Zwikhala,Swivandla swa ntirho
Vakante pos,                             Labour                                      ,A post available in a department for which there is no candidate to occupy (ILO).,Vacant post,Isikhundla esivulekileko,Isithuba somsebenzi,Isikhundla esivulekile,Sekgoba se se bulegilego,Sekgeo sa mosebetsi,Phatlhatiro e e lolea,Sikhala semsebenti/sikhundla lesingenamuntfu,Tshikhala vhuimo ha mushumo/ poswo tshayamuthu,Xivandla xa ntirho
Loon,                             Labour                                      ,Compensation a worker receives in exchange for their labour. See Salary.,Wage,Umrholo / Iwejisi,umrholo / umvuzo,Umholo / Iholo / Inkokhelo,Moputso / Mogolo,Mokgolo / Moputso,Mogolo / Moputso / Tefo,Imbadalo / Inkhokhelo,Malamba / Muholo,Muholo
Arbeid,                              Labour                                      ,"Any activity carried out by an individual, and whose product contributes to the national output, irrespective of whether the person doing it is paid (cash or in kind) or not paid.",Work,Umsebenzi,Umsebenzi,Umsebenzi,Mošomo,Mosebetsi,Tiro,Umsebenti,Mushumo,Ntirho
Werkers,                              Labour                                      ,"Self-employed persons, employers and employees.",Workers,Iinsebenzi,Abasebenzi,Izisebenzi/abasebenzi,Bašomi,Basebetsi,Badiri,Tisebenti / basebenti,Vhashumi,Vatirhi
Werksouderdom,                              Labour                                      ,"Between 15 and 65 years inclusive. For historical reasons, the upper limit in Stats SA practice is 65 and not 64 as elsewhere. See working age, legal.",Working age,Iminyaka yobudala yokusebenza,Iminyaka evumelekileyo yokusebenza,Iminyaka yokuqasheka,Mengwaga ya maswanedi a go šoma,Dilemo tsa ho sebetsa,Dingwaga tsa go dira,Iminyaka yekusebenta,Murole wa u shuma,Malembe yo ringanela ku tirha
Werksleeftyd (wetlik) [wetlike werksleeftyd],                              Labour                                      ,A person aged 15 or above.,Working age (legal),Iminyaka yobudala yokusebenza (ngokomthetho),Iminyaka evumelekileyo yokusebenza (ngokusemthethweni),Iminyaka esemthethweni yokuqasheka,Mengwaga ya maswanedi a go šoma (semolao),Dilemo tsa ho sebetsa (tse molaong),Dingwaga tsa go dira (semolao),Iminyaka yekusebenta (lesemtsetfweni),Murole wa u shuma (mulayo),Malembe yo sungula ku tirha (xinawu)
Werksouderdombevolking,                            Labour                                     ,All persons aged 15–65 years.,Working-age population,Abantu beminyaka yokusebenza,Abantu abakwixabiso lokusebenza,Abantu abaseminyakeni yokuqasheka,Setšhaba sa ba mengwaga ya maswanedi a go šoma,Setjhaba se dilemong tsa ho sebetsa,Baagi ba dingwaga tsa go dira,Bantfu beminyaka yekusebenta,Vhathu vha murole wa u shuma,Vanhu lava nga na malembe lawa ya ringaneleke ku tirha
Onderhoud,                         Law / Justice                                     ,Payments made by one spouse to a separated or divorced spouse as required by a court order.,Alimony,Isondlo sotlhaliweko / I-alimoni,isondlo kwiqabane elahlukene nelinye,Isondlo sohlukanise naye,Tšhelete ya phepo ya molekane,Alimoni / Sapoto,Tlamelomolekane (semmuso),Sondlo,Aḽimoni,Tihakelo ta nthalano
Skuld,                         Law / Justice                                     ,An amount owed by / to a person or organisation for funds borrowed.,Debt,Isikolodo / Isikwelede,ityala,Isikweletu,Sekoloto,Sekoloto / Molato / Mokitlane,Molato / Sekoloto / Disuga,Sikwenedi / Sikwelede,Mulandu / Tshikolodo,Xikweleti
Debiteur,                         Law / Justice                                     ,An individual or company that owes debt to another (the creditor).,Debtor,Umkolodi / Umkweledi,umtyali,Okweletayo,Mokoloti,Mongasekoloto / Mongamolato / Mongamokitlane,Modiramolato / Mokoloti,Umkwenedi / Lokweledako,Mukolodi,Mukoloti
Inkomstebelasting,                         Law / Justice                                     ,"Tax levied on the financial income of a person, cooperation or other legal entity.",Income tax,Umthelongeniso,irhafu yengeniso,Intela yemali engenile,Motšhelo wa letseno / Ditseno,Lekgetho la kuno/lekeno,Lekgethotseno,Intsela yemalingena,Muthelo wa mbuelo,Xibalo / Muthelo
Standaard inkomstebelasting op werknemers (SIBW),                        Law / Justice                                    ,People whose net remuneration from employment exceeds R60 000 per annum (i.e income and benefits after tax) are required to pay both SITE and Pay As You Earn (PAYE). People whose net remuneration is R60 000 or below are required to pay SITE only.,Standard Income Tax for Employees (SITE),IZinga lomThelongeniso weenSebenzi,irhafu oyifumana ngokomvuzo,Intela yeholo ebekiwe / Enqunyiwe,Motšhelo Tekanywa wa Letseno la Bašomi,Lekgetho la kuno / Lekeno le behilweng la basebetsi,Lekgethotsenotekanyetso la Badiri,Umtselo wemholo intsela yemalingena lebekiwe,Muthelo wa Mbuelo wa Ndinganyiso wa Vhashumi,Xibalo xo Ringanisiwa eka Vatirhi
Markproduksiebedrywigheid,                          Manufacturing                                  ,Activities associated with production of goods and services for sale. See economic activities.,Market production activities,Imisebenzi yemikhiqizo yemakethe,iimveliso zorhwebo,Imisebenzi yokukhiqizela ukudayisa,Ditiro tša tšweletšo ya mmaraka,Mesebetsi ya tlhahiso bakeng la mmaraka,Ditirwanakumommaraka,Imikhicito yekutsengisa,Mishumo ya zwibveledzwa zwa maragani,Migingiriko yo andzisa switirhisiwa
